ASV,CTRL_1,Genus
ASV3729,0,Candida
ASV3730,0,Candida
ASV3731,0,Cladosporium
ASV3732,0,Aureobasidium
ASV3733,0,Candida
ASV3734,0,Saccharomyces
ASV3735,0,Penicillium
ASV3736,0,Aureobasidium
ASV3737,0,Aureobasidium
ASV3738,0,Aureobasidium
ASV3739,0,Aureobasidium
ASV3740,0,Penicillium
ASV3741,0,Penicillium
ASV3742,0,Aspergillus
ASV3743,0,Candida
ASV3744,0,Unidentified_Ascomycota
ASV3745,0,Candida
ASV3746,0,Candida
ASV3747,0,Candida
ASV3748,0,Cyberlindnera
ASV3749,0,Penicillium
ASV3750,0,Candida
ASV3751,0,Cladosporium
ASV3752,0,Aureobasidium
ASV3753,0,Candida
ASV3754,0,Aureobasidium
ASV3755,0,Saccharomyces
ASV3756,0,Aureobasidium
ASV3757,0,Penicillium
ASV3758,0,Candida
ASV3759,0,Candida
ASV3760,0,Penicillium
ASV3761,0,Cladosporium
ASV3762,0,Saccharomyces
ASV3763,0,Candida
ASV3764,0,Candida
ASV3765,0,Candida
ASV3766,0,Candida
ASV3767,0,Candida
ASV3768,0,Candida
ASV3769,0,Candida
ASV3770,0,Candida
ASV3771,0,Candida
ASV3772,0,Candida
ASV3773,0,Candida
ASV3774,0,Cladosporium
ASV3775,0,Candida
ASV3776,0,Candida
ASV3777,0,Candida
ASV3778,0,Candida
ASV3779,0,Candida
ASV3780,1,Saccharomyces
ASV3781,1,Saccharomyces
ASV3782,0,Aspergillus
ASV3783,0,Aspergillus
ASV3784,0,Aureobasidium
ASV3785,0,Unidentified_Saccotheciaceae
ASV3786,0,Pseudopithomyces
ASV3787,0,Candida
ASV3788,0,Candida
ASV3789,0,Candida
ASV3790,0,Candida
ASV3791,0,Candida
ASV3792,0,Candida
ASV3793,0,Candida
ASV3794,0,Candida
ASV3795,0,Penicillium
ASV3796,0,Aureobasidium
ASV3797,0,Candida
ASV3798,0,Sistotrema
ASV3799,0,Filobasidium
ASV3800,0,Cladosporium
ASV3801,0,Penicillium
ASV3802,0,Filobasidium
ASV3803,0,Cryptococcus
ASV3804,0,Dioszegia
ASV3805,0,Dioszegia
ASV3806,0,Aspergillus
ASV3807,0,Cladosporium
ASV3808,0,Candida
ASV3809,0,Candida
ASV3810,0,Candida
ASV3811,0,Candida
ASV3812,0,Paraconiothyrium
ASV3813,0,Aureobasidium
ASV3814,0,Lophiostoma
ASV3815,0,Knufia
ASV3816,0,Aureobasidium
ASV3817,0,Unidentified_Ascomycota
ASV3818,0,Unidentified_Ascomycota
ASV3819,0,Cladosporium
ASV3820,0,Saccharomyces
ASV3821,0,Minimedusa
ASV3822,0,Minimedusa
ASV3823,0,Minimedusa
ASV3824,0,Penicillium
ASV3825,0,Linnemannia
ASV3826,0,Solicoccozyma
ASV3827,0,Linnemannia
ASV3828,0,Minimedusa
ASV3829,0,Minimedusa
ASV3830,0,Linnemannia
ASV3831,0,Aureobasidium
ASV3832,0,Unidentified_Ascomycota
ASV3833,0,Unidentified_Ascomycota
ASV3834,0,Saccharomyces
ASV3835,0,Unidentified_Saccotheciaceae
ASV3836,0,Rhodotorula
ASV3837,0,Rhodotorula
ASV3838,0,Rhodotorula
ASV3839,0,Rhodotorula
ASV3840,0,Cladosporium
ASV3841,0,Penicillium
ASV3842,0,Penicillium
ASV3843,0,Penicillium
ASV3844,0,Penicillium
ASV3845,0,Penicillium
ASV3846,0,Penicillium
ASV3847,0,Penicillium
ASV3848,0,Penicillium
ASV3849,0,Aureobasidium
ASV3850,0,Aspergillus
ASV3851,0,Aureobasidium
ASV3852,0,Aureobasidium
ASV3853,0,Rhodotorula
ASV3854,0,Aspergillus
ASV3855,0,Aspergillus
ASV3856,0,Candida
ASV3857,0,Candida
ASV3858,0,Aureobasidium
ASV3859,0,Aureobasidium
ASV3860,0,Unidentified_Agaricomycetes
ASV3861,0,Aureobasidium
ASV3862,0,Aureobasidium
ASV3863,0,Candida
ASV3864,0,Candida
ASV3865,0,Candida
ASV3866,0,Candida
ASV3867,0,Candida
ASV3868,0,Penicillium
ASV3869,0,Cladosporium
ASV3870,0,Cladosporium
ASV3871,0,Penicillium
ASV3872,0,Penicillium
ASV3873,0,Penicillium
ASV3874,0,Cladosporium
ASV3875,0,Aureobasidium
ASV3876,0,Saccharomyces
ASV3877,0,Saccharomyces
ASV3878,0,Trametes
ASV3879,0,Aspergillus
ASV3880,0,Candida
ASV3881,0,Candida
ASV3882,0,Candida
ASV3883,0,Candida
ASV3884,0,Candida
ASV3885,0,Candida
ASV3886,0,Candida
ASV3887,0,Candida
ASV3888,0,Penicillium
ASV3889,0,Cyberlindnera
ASV3890,0,Saccharomyces
ASV3891,0,Candida
ASV3892,0,Penicillium
ASV3893,0,Aspergillus
ASV3894,0,Candida
ASV3895,0,Aureobasidium
ASV3896,0,Candida
ASV3897,0,Candida
ASV3898,0,Candida
ASV3899,0,Candida
ASV3900,0,Candida
ASV3901,0,Candida
ASV3902,0,Candida
ASV3903,0,Candida
ASV3904,0,Cutaneotrichosporon
ASV3905,0,Cryptococcus
ASV3906,0,Saccharomyces
ASV3907,0,Unidentified_Didymellaceae
ASV3908,0,Candida
ASV3909,0,Candida
ASV3910,0,Candida
ASV3911,0,Candida
ASV3912,0,Candida
ASV3913,0,Candida
ASV3914,0,Candida
ASV3915,0,Candida
ASV3916,0,Candida
ASV3917,0,Candida
ASV3918,0,Rhodotorula
ASV3919,0,Candida
ASV3920,0,Candida
ASV3921,0,Candida
ASV3922,0,Candida
ASV3923,0,Candida
ASV3924,0,Candida
ASV3925,0,Candida
ASV3926,0,Candida
ASV3927,0,Cystofilobasidium
ASV3928,0,Saccharomyces
ASV3929,0,Saccharomyces
ASV3930,0,Candida
ASV3931,0,Aureobasidium
ASV3932,0,Unidentified_Saccotheciaceae
ASV3933,0,Aspergillus
ASV3934,0,Unidentified_Saccotheciaceae
ASV3935,0,Kazachstania
ASV3936,0,Cyberlindnera
ASV3937,0,Penicillium
ASV3938,0,Penicillium
ASV3939,0,Cephaloascus
ASV3940,0,Aureobasidium
ASV3941,0,Saccharomyces
ASV3942,0,Candida
ASV3943,0,Candida
ASV3944,0,Unidentified_Ascomycota
ASV3945,0,Candida
ASV3946,0,Cladosporium
ASV3947,0,Saccharomyces
ASV3948,0,Aspergillus
ASV3949,0,Saitozyma
ASV3950,0,Cladosporium
ASV3951,0,Cladosporium
