"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV18685","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Cylindroaseptospora",NA
"ASV18686","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Lasiodiplodia",NA
"ASV18688","Fungi","GS01_phy_Incertae_sedis","GS01_phy_Incertae_sedis_cls_Incertae_sedis","GS01_phy_Incertae_sedis_ord_Incertae_sedis","GS01_phy_Incertae_sedis_fam_Incertae_sedis","GS01_phy_Incertae_sedis_gen_Incertae_sedis",NA
"ASV18690","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","orientalis"
"ASV18692","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","podzolica"
"ASV18693","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","minitans"
"ASV18696","Fungi","Rozellomycota","Rozellomycotina_cls_Incertae_sedis","GS11","GS11_fam_Incertae_sedis","GS11_gen_Incertae_sedis",NA
"ASV18697","Fungi","Ascomycota","Dothideomycetes","Venturiales",NA,NA,NA
"ASV18698","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera",NA
"ASV18700","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18701","Fungi","Ascomycota","Lecanoromycetes",NA,NA,NA,NA
"ASV18706","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"ASV18707","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"ASV18710","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","arunalokei"
"ASV18711","Fungi","Basidiobolomycota","Basidiobolomycota_cls_Incertae_sedis","Basidiobolomycota_ord_Incertae_sedis","Basidiobolomycota_fam_Incertae_sedis","Basidiobolomycota_gen_Incertae_sedis",NA
"ASV18712","Fungi","Ascomycota","Leotiomycetes","Helotiales","Ploettnerulaceae",NA,NA
"ASV18713","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","oligosperma"
"ASV18715","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Sarocladium","strictum"
"ASV18717","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Holocotylon","brandegeeanum"
"ASV18719","Fungi","Basidiomycota","Microbotryomycetes",NA,NA,NA,NA
"ASV18725","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora",NA
"ASV18728","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma",NA
"ASV18731","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","humilis"
"ASV18732","Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Ascomycota_gen_Incertae_sedis",NA
"ASV18735","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18736","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Xylogone",NA
"ASV18737","Fungi","Ascomycota","Dothideomycetes","Venturiales",NA,NA,NA
"ASV18738","Fungi","Ascomycota","Dothideomycetes","Venturiales",NA,NA,NA
"ASV18739","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18740","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Clavispora","lusitaniae"
"ASV18741","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Pyriculariaceae","Pyricularia","grisea"
"ASV18742","Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Phialocephala","repens"
"ASV18746","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Emmonsiellopsis",NA
"ASV18750","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae",NA,NA
"ASV18751","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Pseudocoleophoma",NA
"ASV18752","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18754","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces",NA
"ASV18755","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18756","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Stenocarpella","macrospora"
"ASV18762","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18763","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","stylobates"
"ASV18764","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella",NA
"ASV18765","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18766","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",NA
"ASV18767","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum",NA
"ASV18769","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Naumovozyma","castellii"
"ASV18771","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18776","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","castaneae"
"ASV18777","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18778","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida",NA
"ASV18780","Fungi","Ascomycota","Sordariomycetes","Thyridiales","Thyridiaceae","Thyridium",NA
"ASV18782","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae",NA,NA
"ASV18784","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","Gaeumannomyces","graminis"
"ASV18785","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"ASV18786","Fungi","Ascomycota","Dothideomycetes","Acrospermales","Acrospermaceae","Oomyces",NA
"ASV18787","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Strelitzianaceae","Strelitziana",NA
"ASV18788","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium",NA
"ASV18791","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","restricta"
"ASV18802","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Wojnowiciella","leptocarpi"
"ASV18803","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Thermomyces","ibadanensis"
"ASV18807","Fungi","Ascomycota","Sordariomycetes","Phyllachorales","Telimenaceae",NA,NA
"ASV18808","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"ASV18809","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","iranianum"
"ASV18810","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","aeruginascens"
"ASV18811","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA
"ASV18812","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18813","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Edenia","gomezpompae"
"ASV18816","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma","samarorum"
"ASV18817","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"ASV18818","Fungi","Basidiomycota","Agaricomycetes","Trechisporales",NA,NA,NA
"ASV18819","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","rubiginosa"
"ASV18821","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"ASV18824","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudogymnoascus","appendiculatus"
"ASV18827","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","orientalis"
"ASV18829","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Mrakia",NA
"ASV18830","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Acaulium","retardatum"
"ASV18833","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meripilaceae","Rigidoporus","vinctus"
"ASV18834","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Spooneromyces",NA
"ASV18835","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Teratosphaeria",NA
"ASV18836","Fungi","Mucoromycota","Endogonomycetes","Endogonomycetes_ord_Incertae_sedis","Endogonomycetes_fam_Incertae_sedis","Endogonomycetes_gen_Incertae_sedis",NA
"ASV18837","Fungi","Ascomycota","Dothideomycetes","Venturiales",NA,NA,NA
"ASV18838","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","acidohumus"
"ASV18839","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","albicans"
"ASV18840","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza","ostracoderma"
"ASV18841","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Melanocarpus","albomyces"
"ASV18842","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Myriangiaceae","Myriangiaceae_gen_Incertae_sedis",NA
"ASV18843","Fungi","Ascomycota","Sordariomycetes","Sordariales","Bombardiaceae","Ramophialophora",NA
"ASV18844","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Hyphozyma","roseonigra"
"ASV18845","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Geopora",NA
"ASV18846","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Kazachstania","unispora"
"ASV18847","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon","smithiae"
"ASV18854","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Haptocillium","sinense"
"ASV18857","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA
"ASV18861","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis","Onygenales_gen_Incertae_sedis",NA
"ASV18863","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","pseudopectinatoides"
"ASV18864","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","amoeboidea"
"ASV18865","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"ASV18866","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","niemeijerarum"
"ASV18867","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium","tricorpus"
"ASV18868","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Bionectria",NA
"ASV18869","Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiaceae","Myrmecridium","schulzeri"
"ASV18870","Fungi","Rozellomycota","Rozellomycota_cls_Incertae_sedis","Rozellomycota_ord_Incertae_sedis","Rozellomycota_fam_Incertae_sedis","Rozellomycota_gen_Incertae_sedis",NA
"ASV18871","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys",NA
"ASV18872","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","niemeijerarum"
"ASV18873","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","flocculosus"
"ASV18875","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Starmerella","davenportii"
"ASV18877","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"ASV18880","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"ASV18884","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","solani"
"ASV18888","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","reticulatus"
"ASV18891","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"ASV18892","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Discosiaceae","Discosia",NA
"ASV18894","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","tenuissimum"
"ASV18895","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","parapsilosis"
"ASV18896","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida",NA
"ASV18897","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Tremella",NA
"ASV18898","Fungi","Rozellomycota","Rozellomycota_cls_Incertae_sedis","Rozellomycota_ord_Incertae_sedis","Rozellomycota_fam_Incertae_sedis","Rozellomycota_gen_Incertae_sedis",NA
"ASV18899","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","atrogriseum"
"ASV18901","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Cystobasidium","slooffiae"
"ASV18902","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","pullulans"
"ASV18903","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18904","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"ASV18905","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","exigua"
"ASV18906","Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Ascomycota_gen_Incertae_sedis",NA
"ASV18907","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV18908","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","caroliniana"
"ASV18909","Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Ascomycota_gen_Incertae_sedis",NA
"ASV18910","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chaetosphaeria",NA
"ASV18911","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18912","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"ASV18913","Fungi","Ascomycota","Sordariomycetes","Pseudodactylariales","Pseudodactylariaceae","Pseudodactylaria",NA
"ASV18914","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha",NA
"ASV18915","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"ASV18916","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Funiliomyces",NA
"ASV18917","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum","silvicola"
"ASV18919","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Ascotricha",NA
"ASV18921","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium","vaccinii"
"ASV18922","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Albophoma","yamanashiensis"
"ASV18923","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces",NA
"ASV18928","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","verticillata"
"ASV18930","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria",NA
"ASV18932","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"ASV18933","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","niemeijerarum"
"ASV18934","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","sardiniae"
"ASV18935","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"ASV18936","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV18937","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Gamszarea","microspora"
"ASV18938","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","Neodevriesia","bulbillosa"
"ASV18939","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV18940","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"ASV18941","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","laibachii"
"ASV18942","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18943","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18944","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces",NA
"ASV18946","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"ASV18947","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales",NA,NA,NA
"ASV18948","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","oerlinghausenensis"
"ASV18949","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","fermentans"
"ASV18950","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Cystobasidium",NA
"ASV18951","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","humilis"
"ASV18952","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","laibachii"
"ASV18953","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"ASV18954","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chloridium",NA
"ASV18955","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18962","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida",NA
"ASV18967","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Pyriculariaceae","Pyricularia",NA
"ASV18968","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_ord_Incertae_sedis","Junewangiaceae","Junewangiaceae_gen_Incertae_sedis",NA
"ASV18970","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18971","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18972","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"ASV18973","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","pullulans"
"ASV18976","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Delitschiaceae","Delitschiaceae_gen_Incertae_sedis",NA
"ASV18977","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"ASV18978","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","pullulans"
"ASV18979","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces",NA
"ASV18980","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae",NA,NA
"ASV18982","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV18983","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Starmerella","etchellsii"
"ASV18984","Fungi","Ascomycota","Dothideomycetes","Venturiales",NA,NA,NA
"ASV18985","Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Ascomycota_gen_Incertae_sedis",NA
"ASV18986","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","sojae"
"ASV18987","Fungi","Ascomycota","Dothideomycetes","Venturiales",NA,NA,NA
"ASV18988","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV18989","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"ASV18990","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum","silvicola"
"ASV18992","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Galactomyces","pseudocandidus"
"ASV18993","Fungi","Ascomycota","Dothideomycetes","Venturiales",NA,NA,NA
"ASV18994","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"ASV18995","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Kazachstania","turicensis"
"ASV18996","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Delitschiaceae","Delitschiaceae_gen_Incertae_sedis",NA
"ASV18997","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeopoacea","phragmiticola"
"ASV18998","Fungi","Ascomycota","Dothideomycetes","Venturiales",NA,NA,NA
"ASV18999","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia","endospora"
"ASV19000","Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV19001","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"ASV19002","Fungi","Ascomycota","Sordariomycetes","Atractosporales","Conlariaceae","Conlarium","sacchari"
"ASV19003","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiales_fam_Incertae_sedis","Venturiales_gen_Incertae_sedis",NA
"ASV19004","Fungi","Ascomycota","Dothideomycetes","Venturiales",NA,NA,NA
"ASV19005","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Porotheleaceae","Porotheleaceae_gen_Incertae_sedis",NA
"ASV19006","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Striaticonidium",NA
"ASV19007","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"ASV19008","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Saturnispora","mendoncae"
"ASV19009","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Bradymyces",NA
"ASV19010","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Stellatospora","terricola"
"ASV19011","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","orientalis"
"ASV19012","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Pseudocercospora",NA
"ASV19013","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Plenodomus","fallaciosus"
"ASV19014","Fungi","Ascomycota","Sordariomycetes","Sordariales","Cephalothecaceae","Cephalotheca","foveolata"
"ASV19015","Fungi","Ascomycota","Sordariomycetes","Thyridiales","Thyridiaceae","Thyridium","cornearis"
"ASV19016","Fungi","Ascomycota","Leotiomycetes","Helotiales","Chaetomellaceae","Sphaerographium",NA
"ASV19017","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Geopora","sepulta"
"ASV19018","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","sardiniae"
"ASV19019","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","podzolica"
"ASV19020","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum","silvicola"
"ASV19021","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"ASV19022","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Chaetothyriales_gen_Incertae_sedis",NA
"ASV19023","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Enterocarpus","grenotii"
"ASV19024","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Kernia",NA
"ASV19025","Fungi","Aphelidiomycota","Aphelidiomycetes","Aphelidiomycetes_ord_Incertae_sedis","Aphelidiomycetes_fam_Incertae_sedis","Aphelidiomycetes_gen_Incertae_sedis",NA
"ASV19039","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Collarina",NA
"ASV19040","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"ASV19041","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Gymnostellatospora","japonica"
"ASV19042","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium",NA
"ASV19043","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"ASV19044","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","baccata"
"ASV19045","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","metapsilosis"
"ASV19046","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","niemeijerarum"
"ASV19047","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae",NA,NA
"ASV19048","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Aaosphaeria","arxii"
"ASV19049","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"ASV19050","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA
"ASV19051","Fungi","Basidiomycota","Agaricomycetes","Agaricomycetes_ord_Incertae_sedis","Agaricomycetes_fam_Incertae_sedis","Agaricomycetes_gen_Incertae_sedis",NA
"ASV19052","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma",NA
"ASV19053","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",NA
"ASV19054","Fungi","Basidiobolomycota","Basidiobolomycetes","Basidiobolales","Basidiobolales_fam_Incertae_sedis","Basidiobolales_gen_Incertae_sedis",NA
"ASV19055","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","orientalis"
"ASV19056","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum","silvicola"
"ASV19057","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudeurotium","ovale"
"ASV19058","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","verticillata"
"ASV19060","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"ASV19061","Fungi","Rozellomycota","Rozellomycota_cls_Incertae_sedis","Rozellomycota_ord_Incertae_sedis","Rozellomycota_fam_Incertae_sedis","Rozellomycota_gen_Incertae_sedis",NA
